"","Anthornis melanura","Hemiphaga novaeseelandiae","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Aristotelia serrata",0,1,0,0,2
"Coprosma grandifolia",7,1,7,0,8
"Coprosma robusta",0,0,0,0,8
"Melicytus ramiflorus",2,0,0,0,2
"Neopanax arboreus",0,0,1,0,29
"Piper excelsum",0,0,0,1,0
"Pittosporum eugenioides",0,0,0,0,1
