"","Anolis carolinensis","Aplonis opaca","Cleptornis marchei","Gallicolumba xanthonura","Lamprolepis smaragdina","Ptilinopus roseicapilla","Zosterops conspicillatus"
"Aglaia mariannensis",0,9,0,0,0,0,0
"Carica papaya",1,114,205,7,1,0,1
"Melanolepis multiglandulosa",0,27,336,6,0,0,217
"Pipturus argenteus",0,3,34,1,5,0,33
"Premna serratifolia",0,25,209,7,2,61,62
"Psychotria mariana",0,4,67,0,0,2,1
