"","Catharus fuscescens","Catharus minimus","Catharus ustulatus","Empidonax virescens","Habia fuscicauda","Lepidothrix coronata","Manacus vitellinus","Mionectes oleagineus","Pipra mentalis","Schiffornis turdina","Trogon rufus"
"Psychotria cuspidata",1,3,13,0,0,7,0,0,26,0,0
"Psychotria cyanococca",0,0,0,0,0,1,2,0,0,0,0
"Psychotria deflexa",0,0,5,0,3,11,0,0,9,0,0
"Psychotria gracilenta",0,0,1,0,0,2,0,0,1,0,0
"Psychotria grandis",0,0,0,0,0,0,0,0,2,0,0
"Psychotria hoffmannseggiana",1,3,3,0,0,7,1,0,52,1,0
"Psychotria horizontalis",2,1,6,1,0,2,2,1,13,0,0
"Psychotria limonensis",2,0,1,0,0,0,1,0,21,0,0
"Psychotria marginata",7,0,3,0,0,16,10,0,18,1,1
"Psychotria poeppigiana",0,0,1,0,2,3,1,0,6,0,0
"Psychotria psychotriifolia",0,0,0,0,0,2,0,0,3,0,0
"Psychotria racemosa",0,0,0,0,0,1,1,0,1,0,0
"Ronabea emetica",0,4,3,0,0,0,0,0,0,0,0
