"","Aegithalos caudatus","Columba palumbus","Cyanistes caeruleus","Erithacus rubecula","Fringilla coelebs","Parus major","Poecile palustris","Pyrrhula pyrrhula","Sitta europaea","Sylvia atricapilla","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris"
"Bryonia cretica subsp. dioica",0,0,1,0,2,2,36,2,0,0,0,0,0,0
"Crataegus monogyna",0,20,0,0,0,0,0,0,0,0,3241,764,15,1482
"Dioscorea communis",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Euonymus europaeus",29,0,0,1,0,0,14,0,0,0,0,6,0,0
"Hedera helix",0,24,0,2,0,0,0,0,0,1,0,163,15,0
"Lonicera periclymenum",0,0,3,0,0,0,17,0,0,0,0,0,0,0
"Prunus spinosa",0,0,0,0,0,0,0,0,0,0,209,139,0,303
"Rosa canina",0,0,0,0,0,0,0,0,0,0,0,52,0,0
"Rubus vestitus",0,0,17,0,0,0,16,2,0,0,0,20,1,0
"Sambucus nigra",0,35,175,4,10,95,147,1,2,4,28,301,19,0
"Solanum dulcamara",0,0,0,0,0,0,1,0,1,1,0,0,0,0
