"","Carollia sowelli","Sturnira hondurensis","Sturnira parvidens"
"Hedyosmum mexicanum",1,4,3
"Piper hispidum",1,0,0
"Piper lapathifolium",3,9,6
"Solanaceae Hernandez-Montero2015.unidsp.3",0,3,1
"Solanum aphyodendron",2,1,6
"Solanum schlechtendalianum",0,0,1
"Unidentified Hernandez-Montero2015.unidsp.1",0,1,2
