"","Carollia sowelli","Sturnira hondurensis","Sturnira parvidens"
"Hedyosmum mexicanum",0,2,2
"Piper Hernandez-Montero2015.unidsp.4",0,1,0
"Piper hispidum",0,0,1
"Piper lapathifolium",2,8,7
"Solanaceae Hernandez-Montero2015.unidsp.4",0,6,0
"Solanum aphyodendron",0,1,2
"Solanum schlechtendalianum",0,3,0
