"","Eulemur rubriventer","Eulemur rufifrons","Varecia variegata"
"Abrahamia thouvenotii",0,1,0
"Abrahamia turkii",1,1,1
"Abrus precatorius",0,1,0
"Agelaea pentagyna",1,1,0
"Allophylus cobbe",1,1,1
"Ambavia capuronii",0,0,1
"Anisophyllea fallax",0,0,1
"Anthocleista amplexicaulis",1,1,0
"Antirhea borbonica",1,1,1
"Aphloia theiformis",1,1,0
"Bakerella Razafindratsima2013.unidsp.1",0,1,0
"Bremeria erectiloba",1,1,1
"Brexiella Razafindratsima2013.unidsp.1",0,1,0
"Canarium madagascariense",0,1,1
"Carissa spinarum",0,1,1
"Chrysophyllum boivinianum",1,1,1
"Cinnamosma madagascariensis",0,1,0
"Clerodendrum petunioides",0,1,0
"Craspidospermum verticillatum",1,1,0
"Cryptocarya crassifolia",1,1,1
"Cryptocarya Razafindratsima2013.unidsp.1",1,1,1
"Cryptocarya thouvenotii",1,1,1
"Danais Razafindratsima2013.unidsp.1",1,0,1
"Deidamia Razafindratsima2013.unidsp.238",0,1,0
"Deinbollia neglecta",1,1,1
"Dichapetalum chlorinum",0,0,1
"Dichapetalum Razafindratsima2013.unidsp.1",1,0,1
"Diospyros gracilipes",0,1,0
"Dypsis decipiens",0,0,1
"Dypsis nodifera",1,0,0
"Ephippiandra madagascariensis",0,0,1
"Eugenia louvelii",1,1,1
"Ficus botryoides",1,1,1
"Ficus lutea",1,1,1
"Ficus politoria",1,1,0
"Ficus reflexa",1,1,1
"Ficus rubra",0,0,1
"Ficus tiliifolia",1,1,0
"Gaertnera brevipedicellata",0,1,0
"Gaertnera phyllostachya",0,0,1
"Garcinia goudotiana",1,0,1
"Garcinia Razafindratsima2013.unidsp.1",1,0,0
"Grewia Razafindratsima2013.unidsp.1",0,1,0
"Gyrostipula foveolata",0,0,1
"Mammea bongo",0,0,1
"Mammea vatoensis",0,1,1
"Medinilla Razafindratsima2013.unidsp.1",0,1,0
"Melanophylla crenata",0,1,0
"Mikania Razafindratsima2013.unidsp.1",1,1,1
"Mussaenda arcuata",1,1,0
"Noronhia incurvifolia",0,1,0
"Noronhia introversa",1,1,0
"Ocotea nervosa",1,1,1
"Ocotea racemosa",0,0,1
"Oncostemum botryoides",1,1,1
"Oncostemum leprosum",0,0,1
"Oncostemum nervosum",1,1,1
"Pandanus Razafindratsima2013.unidsp.127",1,1,0
"Plectaneia Razafindratsima2013.unidsp.1",1,0,1
"Potameia rubra",0,0,1
"Premna corymbosa",0,0,1
"Psidium cattleianum",1,1,0
"Psidium guajava",1,1,0
"Psorospermum androsaemifolium",0,1,0
"Psychotria mandrarensis",0,1,1
"Psychotria reducta",1,1,0
"Raphidiocystis Razafindratsima2013.unidsp.1",0,1,0
"Ravenea robustior",0,0,1
"Ravensara perareolata",0,0,1
"Saldinia Razafindratsima2013.unidsp.1",1,1,0
"Scolopia madagascariensis",1,1,0
"Sideroxylon betsimisarakum",0,0,1
"Smilax anceps",1,1,0
"Streblus dimepate",1,1,0
"Syzygium emirnense",1,1,1
"Syzygium parkeri",1,1,1
"Tambourissa perrieri",1,1,0
"Toddalia asiatica",1,1,0
"Unidentified Razafindratsima2013.unidsp.1",0,1,0
"Unidentified Razafindratsima2013.unidsp.2",0,1,0
"Unidentified Razafindratsima2013.unidsp.3",0,0,1
"Unidentified Razafindratsima2013.unidsp.4",1,1,1
"Vepris Razafindratsima2013.unidsp.1",0,0,1
"Weinmannia bojeriana",1,1,0
"Weinmannia rutenbergii",0,1,0
"Xylopia buxifolia",1,0,0
"Zanha Razafindratsima2013.unidsp.1",0,1,1
"Zanthoxylum Razafindratsima2013.unidsp.1",0,1,0
"Zanthoxylum tsihanimposa",0,1,1
