"","Acridotheres fuscus","Acridotheres tristis","Corvus macrorhynchos","Cuculus varius","Dendrocitta formosae","Dendrocitta vagabunda","Emberiza lathami","Eudynamys scolopaceus","Megalaima virens","Myophonus caeruleus","Oriolus kundoo","Parus cinereus","Passer domesticus","Phylloscopus xanthoschistos","Prinia crinigera","Psittacula himalayana","Psittacula krameri","Pycnonotus cafer","Pycnonotus leucogenys","Saxicola ferreus","Streptopelia orientalis","Treron sphenurus","Trochalopteron lineatum","Turdoides striata","Urocissa erythroryncha","Zosterops palpebrosus"
"Berberis asiatica",101,60,0,0,41,3,18,0,0,19,0,0,70,59,10,10,0,141,170,29,0,0,24,28,26,58
"Ficus palmata",123,75,2,5,33,8,0,11,30,17,2,20,4,69,0,2,0,99,255,0,0,6,12,0,65,59
"Morus alba",1085,376,0,0,23,11,0,0,0,19,0,0,0,0,0,0,0,0,299,0,13,0,0,13,43,38
"Pyracantha crenulata",39,38,0,0,25,2,18,0,0,17,0,0,76,60,10,0,0,100,176,41,0,0,32,10,24,68
"Pyrus communis",0,0,0,0,51,14,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,30,0
"Rubus ellipticus",0,0,0,0,26,4,0,0,0,0,0,0,84,0,6,0,0,108,180,48,0,0,0,0,23,0
