"","Apodemus flavicollis","Coccothraustes coccothraustes","Columba palumbus","Erithacus rubecula","Fringilla coelebs","Luscinia luscinia","Muscicapa striata","Oriolus oriolus","Parus major","Poecile palustris","Sitta europaea","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Euonymus europaeus",0,0,0,63,0,0,0,0,0,0,0,8,0,0,0
"Frangula alnus",0,0,0,13,0,3,2,0,3,0,0,12,2,13,3
"Prunus padus",0,158,4,4,2,8,4,3,2,0,6,106,28,97,15
"Ribes alpinum",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"Ribes nigrum",0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"Ribes spicatum",3,0,0,0,0,0,0,0,3,0,0,11,0,9,5
"Rubus idaeus",0,0,0,0,0,0,0,0,0,0,0,7,0,2,0
"Sorbus aucuparia",0,0,0,4,0,0,0,0,0,1,0,38,4,50,0
"Viburnum opulus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
