"","Artibeus jamaicensis","Carollia sowelli","Sturnira hondurensis","Sturnira parvidens"
"Lycianthes geminiflora",0,1,1,0
"Piper auritum",1,1,2,0
"Solanum acerifolium",0,0,1,0
"Solanum schlechtendalianum",0,0,2,0
"Vismia baccifera",0,2,1,1
