"","Anairetes parulus","Cinclodes fuscus","Cinclodes patagonicus","Colaptes pitius","Curaeus curaeus","Diuca diuca","Elaenia albiceps","Patagioenas araucana","Phrygilus patagonicus","Phytotoma rara","Pteroptochos tarnii","Scelorchilus rubecula","Sicalis luteola","Spinus barbatus","Turdus falcklandii","Xolmis pyrope","Zonotrichia capensis"
"Amomyrtus luma",0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
"Aristotelia chilensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Drimys winteri",0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0
"Galium hypocarpium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nertera granadensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ovidia pillopillo",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Unidentified Armesto1987.unidsp.mult",1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
