"","Erithacus rubecula","Sylvia atricapilla","Sylvia melanocephala","Turdus merula"
"Ardisia excelsa",1,1,0,1
"Canarina canariensis",0,1,0,0
"Jasminum odoratissimum",1,1,1,1
"Rhamnus crenulata",0,0,1,0
"Rubia fruticosa",1,1,1,1
"Withania aristata",0,0,0,1
