"","Anisognathus somptuosus","Catharus ustulatus","Cyanocorax yncas","Diglossa albilatera","Elaenia albiceps","Iridosornis analis","Myadestes ralloides","Patagioenas fasciata","Penelope barbata","Tangara nigroviridis","Tangara parzudakii","Tangara vassorii","Tangara xanthocephala","Thraupis cyanocephala","Turdus fuscater"
"Allophylus Quitian2018.unidsp.200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Cecropia angustifolia",1,0,0,16,0,0,0,0,0,1,0,0,1,17,6
"Critoniopsis floribunda",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Hieronyma fendleri",0,0,0,0,0,0,0,0,2,2,0,0,0,1,0
"Inga Quitian2018.unidsp.200",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Loranthaceae Quitian2018.unidsp.202",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Miconia punctata",0,0,0,0,3,0,7,0,0,3,9,33,9,9,2
"Miconia Quitian2018.unidsp.204",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"Miconia Quitian2018.unidsp.206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Miconia theizans",7,2,7,3,21,2,5,0,0,53,0,171,4,64,17
"Monnina Quitian2018.unidsp.200",0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"Myrsine coriacea",1,0,0,0,0,0,0,0,0,3,4,3,1,5,0
"Rubus Quitian2018.unidsp.200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Sapium Quitian2018.unidsp.200",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Siparuna aspera",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Trema micrantha",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Turpinia occidentalis",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Unidentified Quitian2018.unidsp.200",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Viburnum obtectum",0,0,0,0,1,0,0,1,1,12,0,2,0,2,5
