"","Artibeus fimbriatus","Artibeus lituratus","Artibeus planirostris","Carollia perspicillata","Sturnira lilium"
"Cecropia Brito2010.unidsp.42",1,0,1,0,0
"Cecropia pachystachya",1,8,0,0,0
"Ficus Brito2010.unidsp.314",0,2,0,0,0
"Ficus citrifolia",1,2,0,0,1
"Ficus insipida",3,1,0,0,0
"Maclura tinctoria",0,3,1,0,2
"Piper aduncum",0,0,0,12,1
"Piper amalago",0,0,0,2,1
"Piper Brito2010.unidsp.764",0,0,0,3,0
"Solanum asperolanatum",0,1,0,0,3
"Solanum Brito2010.unidsp.684",0,0,0,0,9
