"","Dendrocopos major","Erithacus rubecula","Fringilla coelebs","Garrulus glandarius","Hippolais icterina","Muscardinus avellanarius","Parus major","Poecile palustris","Sylvia atricapilla","Sylvia borin","Turdus merula","Turdus philomelos"
"Euonymus europaeus",0,58,0,0,0,0,2,9,105,0,0,2
"Euonymus verrucosus",0,6,0,0,0,0,0,0,2,0,0,5
"Frangula alnus",0,2,0,0,0,0,0,0,44,0,26,56
"Prunus padus",3,0,2,0,0,0,1,1,26,0,20,4
"Rhamnus cathartica",0,1,0,0,0,0,1,0,4,0,0,0
"Ribes spicatum",9,0,0,1,0,10,3,0,15,2,34,9
"Sorbus aucuparia",0,0,0,0,0,0,0,0,8,0,78,10
"Viburnum opulus",0,2,0,0,1,0,1,0,2,0,0,40
