"","Columba palumbus","Erithacus rubecula","Sturnus vulgaris","Sylvia atricapilla","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus torquatus","Turdus viscivorus"
"Crataegus monogyna",0,0,0,0,0,41,0,0,0,0
"Hedera helix",25,27,105,56,75,260,123,53,6,35
"Ilex aquifolium",10,0,0,1,7,89,3,0,0,71
"Malus sylvestris",0,0,0,0,0,450,0,0,0,0
"Rosa canina",0,0,0,0,0,139,0,0,0,0
"Viscum album",0,12,0,6,0,0,6,0,0,240
