"","Anisognathus lacrymosus","Chlorornis riefferii","Diglossa cyanea","Tangara vassorii"
"Allophylus Quitian2018.unidsp.300",1,0,0,2
"Lamiaceae Quitian2018.unidsp.300",0,0,2,0
"Miconia Quitian2018.unidsp.302",0,0,0,1
"Miconia Quitian2018.unidsp.303",4,0,0,1
"Miconia Quitian2018.unidsp.305",0,0,0,1
"Myriocarpa Quitian2018.unidsp.300",1,0,0,0
"Ocotea Quitian2018.unidsp.300",0,0,2,0
"Oreopanax Quitian2018.unidsp.303",0,1,0,0
"Rubus Quitian2018.unidsp.300",1,0,1,0
"Schefflera acuminata",1,5,0,0
