"","Aves Engel2000.unidsp.mult","Bycanistes brevis","Cercopithecus mitis","Civettictis civetta","Colius striatus","Colobus angolensis","Cricetomys gambianus","Eidolon helvum","Epomophorus wahlbergi","Francolinus afer","Genetta maculata","Gerrhosaurus major","Hystrix africaeaustralis","Ichneumia albicauda","Kinixys belliana","Lonchura nigriceps","Loxodonta africana","Nandinia binotata","Neotragus moschatus","Otolemur garnettii","Papio cynocephalus","Paraxerus Engel2000.unidsp.1","Ploceus cucullatus","Rodentia Engel2000.unidsp.mult","Rousettus Engel2000.unidsp.mult","Stigmochelys pardalis","Sylvicapra grimmia","Tockus alboterminatus","Tragelaphus scriptus","Treron calvus","Viverridae Engel2000.unidsp.mult"
"Carica papaya",0,0,0,1,0,0,1,0,0,0,2,0,0,1,2,0,1,2,0,3,1,0,0,0,0,1,0,0,0,0,0
"Carpolobia goetzei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
"Cascabela thevetia",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassipourea euryoides",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,21,0,0,0,0,0,0,3,0,0,0
"Catunaregam nilotica",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Chrysophyllum viridifolium",0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Citrus maxima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Citrus sinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea sessiliflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Combretum schumannii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connarus longistipitatus",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cremaspora triflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Crossopteryx febrifuga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton sylvaticus",1,0,1,5,0,1,11,0,0,0,1,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0
"Cucumis Engel2000.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucumis melo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cussonia zimmermannii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Dichapetalum arenarium",0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Dichrostachys cinerea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dictyophleba lucida",0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Diospyros abyssinica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
"Diospyros consolatae",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,0
"Diospyros Engel2000.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Diospyros mespiliformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros squarrosa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dracaena mannii",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drypetes natalensis",0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elaeis guineensis",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Ellipanthus hemandradenioides",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eriobotrya japonica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eriosema Engel2000.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eriosema glomeratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Erythrophleum suaveolens",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euclea natalensis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus Engel2000.unidsp.1",0,1,0,39,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,24,0,0,0,0,0,0,3,0,1,1
"Ficus lutea",1,1,0,8,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0
"Ficus scassellatii",0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ficus stuhlmannii",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0
"Ficus sur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
"Ficus sycomorus",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus thonningii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Flueggea virosa",0,0,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,10,17,0,0,0,0,1,8,0,2,0,0
"Geophila repens",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gonatopus boivinii",0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gossypioides kirkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grewia glandulosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Grewia hexamita",0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Haplocoelum inoploeum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Harrisonia abyssinica",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Harungana madagascariensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
"Hirtella zanzibarica",0,0,0,48,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Hoslundia opposita",0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Hugonia castaneifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"Hymenaea verrucosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
"Hyphaene compressa",0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Hyphaene coriacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indigofera paniculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Julbernardia magnistipulata",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keetia venosa",0,0,2,54,0,0,2,0,0,0,88,0,0,0,0,0,28,0,0,5,27,0,0,0,0,0,0,1,0,0,5
"Keetia zanzibarica",0,0,0,119,0,0,1,0,0,0,52,0,0,0,0,0,37,2,0,8,51,0,0,0,0,0,0,1,0,0,11
"Landolphia Engel2000.unidsp.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Landolphia Engel2000.unidsp.2",0,0,0,64,0,0,1,0,0,0,2,0,0,0,0,0,35,0,0,0,58,0,0,0,0,0,0,0,0,0,0
"Landolphia kirkii",0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Landolphia watsoniana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lannea schweinfurthii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Lantana camara",0,1,1,2,0,0,4,0,0,0,0,1,0,2,0,0,136,0,2,8,67,0,0,0,0,0,5,0,1,0,0
"Lettowianthus stellatus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycopersicon esculentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Macrotyloma uniflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Mallotus oppositifolius",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mangifera indica",0,0,0,6,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manilkara sansibarensis",0,1,0,13,0,0,1,0,0,0,87,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Margaritaria discoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,0
