"","Artibeus lituratus","Carollia perspicillata","Phyllostomus discolor","Sturnira lilium"
"Ficus insipida",4,0,0,0
"Ficus Zapata-Mesa2017.unidsp.1",10,0,0,0
"Ficus Zapata-Mesa2017.unidsp.2",2,0,0,0
"Piper aduncum",0,1,0,1
"Piper glabratum",0,2,0,2
"Piper tuberculatum",1,1,0,9
"Piper Zapata-Mesa2017.unidsp.999",0,2,0,0
"Psidium guajava",4,0,1,0
"Solanum nudum",0,1,0,1
"Unknown Zapata-Mesa2017.unidsp.1",0,0,0,3
