"","Alophoixus pallidus","Chloropsis hardwickii","Dicaeum agile","Dicaeum cruentatum","Dicaeum minullum","Hypsipetes leucocephalus","Iole propinqua","Megalaima asiatica","Megalaima haemacephala","Phylloscopus coronatus","Pycnonotus aurigaster","Pycnonotus flaviventris","Pycnonotus jocosus","Sturnia malabarica","Sturnia sinensis","Zosterops japonicus"
"Ficus cyrtophylla",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Ficus hispida",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"Ficus langkokensis",1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
"Ficus subulata",1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"Ficus tinctoria",1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1
