"","Aburria jacutinga","Attila rufus","Cacicus haemorrhous","Carpornis cucullata","Carpornis melanocephala","Celeus flavescens","Chiroxiphia caudata","Chlorophanes spiza","Chlorophonia cyanea","Cnemotriccus fuscatus","Coereba flaveola","Cyanocorax caeruleus","Dacnis cayana","Elaenia obscura","Euphonia pectoralis","Euphonia violacea","Habia rubica","Hemithraupis guira","Hemithraupis ruficapilla","Ilicura militaris","Lathrotriccus euleri","Legatus leucophaius","Lipaugus lanioides","Manacus manacus","Megarynchus pitangua","Mionectes rufiventris","Myiodynastes maculatus","Orchesticus abeillei","Orthogonys chloricterus","Oxyruncus cristatus","Pachyramphus castaneus","Pachyramphus polychopterus","Pachyramphus viridis","Patagioenas cayennensis","Patagioenas picazuro","Patagioenas plumbea","Penelope obscura","Penelope superciliaris","Phylloscartes oustaleti","Pipraeidea melanonota","Pitangus sulphuratus","Procnias nudicollis","Pyroderus scutatus","Ramphastos dicolorus","Ramphastos vitellinus","Saltator fuliginosus","Schiffornis virescens","Selenidera maculirostris","Sirystes sibilator","Tachyphonus coronatus","Tachyphonus cristatus","Tangara cyanocephala","Tangara cyanoptera","Tangara seledon","Tersina viridis","Thraupis ornata","Thraupis palmarum","Thraupis sayaca","Tityra cayana","Tityra inquisitor","Trichothraupis melanops","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus flavipes","Turdus rufiventris","Vireo olivaceus"
"Costus spicatus",0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
"Coussapoa microcarpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,1,2,1,3,2,0,0
"Cryptocarya aschersoniana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Cupania oblongifolia",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,5,4,0,0
"Doliocarpus schottianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eugenia sulcata",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Euterpe edulis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus cestrifolia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Geonoma elegans",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Guapira opposita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
