"","Anisognathus lacrymosus","Chlorornis riefferii","Diglossa cyanea","Tangara vassorii"
"Ericaceae Quitian2018.unidsp.300",4,0,3,0
"Ericaceae Quitian2018.unidsp.301",0,3,0,0
"Ericaceae Quitian2018.unidsp.306",3,0,0,0
"Graffenrieda harlingii",2,0,0,0
"Guettarda hirsuta",2,0,0,0
"Hedyosmum Quitian2018.unidsp.300",1,0,0,0
"Miconia Quitian2018.unidsp.305",3,0,0,0
"Miconia Quitian2018.unidsp.306",9,1,4,10
"Miconia Quitian2018.unidsp.307",0,0,0,1
"Schefflera Quitian2018.unidsp.300",1,1,0,0
"Schefflera Quitian2018.unidsp.302",1,0,0,0
