"","Anthornis melanura","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Arbutus unedo",0,0,0,4
"Dacrycarpus dacrydioides",0,0,0,11
"Ilex aquifolium",1,0,0,0
"Ligustrum sinense",0,0,1,15
"Lonicera japonica",0,0,0,3
"Loranthus micranthus",1,0,0,1
"Podocarpus cunninghamii",6,0,1,64
"Prumnopitys taxifolia",0,8,1,5
"Solanum americanum",0,0,0,1
