"","Erithacus rubecula","Fringilla coelebs","Parus major","Sylvia atricapilla","Turdus merula","Turdus philomelos"
"Acacia melanoxylon",0,0,0,3,0,0
"Apollonias barbujana",0,0,0,0,1,0
"Celtis australis",0,1,1,18,1,0
"Euphorbiaceae Cruz2013.unidsp.1",0,0,0,1,0,0
"Hedera helix",1,0,0,53,10,2
"Phytolacca americana",0,0,0,1,0,0
"Solanum americanum",0,0,0,2,0,0
