"","Artibeus gnomus","Artibeus lituratus","Artibeus obscurus","Artibeus planirostris","Carollia brevicauda","Carollia castanea","Carollia perspicillata","Catharus ustulatus","Lepidothrix coronata","Machaeropterus regulus","Manacus manacus","Phyllostomus hastatus","Pipra pipra","Rhinophylla pumilio","Sturnira lilium","Tachyphonus surinamus","Tangara schrankii","Uroderma bilobatum"
"Piper Gorchov1995.unidsp.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Piper peltatum",0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
"Piperaceae Gorchov1995.unidsp.1",0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0
"Piperaceae Gorchov1995.unidsp.2",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Psychotria deflexa",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Psychotria Gorchov1995.unidsp.mult",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Psychotria remota",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"Rubiaceae Gorchov1995.unidsp.mult",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"Solanum Gorchov1995.unidsp.1",0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
"Solanum jamaicense",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum lanceolatum",0,0,0,0,4,1,13,0,0,0,0,0,0,0,2,0,0,3
"Sorocea Gorchov1995.unidsp.994",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Souroubea guianensis",0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
"Thoracocarpus bissectus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tococa guianensis",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
"Unidentified Gorchov1995.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Unidentified Gorchov1995.unidsp.2",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Gorchov1995.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Vismia Gorchov1995.unidsp.1",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Vismia Gorchov1995.unidsp.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Vismia macrophylla",4,3,0,3,91,12,187,0,0,0,0,1,0,16,0,0,0,1
