"","Arizelocichla masukuensis","Baeopogon indicator","Buccanodon duchaillui","Bycanistes subcylindricus","Cercopithecus ascanius","Cercopithecus mitis","Chlorocichla laetissima","Cinnyricinclus leucogaster","Colobus guereza","Crithagra citrinelloides","Crithagra mozambica","Elminia longicauda","Eurillas ansorgei","Eurillas curvirostris","Eurillas gracilis","Eurillas latirostris","Eurillas virens","Gymnobucco bonapartei","Iduna pallida","Melaenornis edolioides","Musophaga rossae","Phyllastrephus cabanisi","Phylloscopus trochilus","Ploceus baglafecht","Ploceus insignis","Ploceus nigerrimus","Ploceus nigricollis","Ploceus superciliosus","Poeoptera stuhlmanni","Pogoniulus bilineatus","Pycnonotus barbatus","Stelgidillas gracilirostris","Sylvia atricapilla","Trachylaemus purpuratus","Tricholaema hirsuta","Turdus abyssinicus","Turdus pelios","Zosterops senegalensis"
"Antiaris toxicaria",0,2,0,1,1,6,19,0,0,0,0,0,4,0,1,0,1,2,4,0,0,0,4,0,0,10,0,0,8,0,25,3,0,0,1,0,0,7
"Bridelia micrantha",2,0,0,0,0,2,3,47,0,0,0,0,0,1,0,7,0,4,6,0,1,1,1,0,0,15,0,0,0,1,54,0,0,0,0,0,0,20
"Ficus lutea",0,0,6,0,2,0,9,0,0,1,0,5,0,0,0,0,1,0,7,0,0,0,3,1,0,0,2,1,0,0,14,0,0,0,4,0,1,3
"Ficus thonningii",0,0,42,34,15,28,9,7,0,0,0,0,0,4,1,1,0,0,1,0,10,0,0,0,2,0,0,0,0,0,25,8,0,0,0,2,3,0
"Harungana madagascariensis",0,0,2,3,0,0,6,1,0,0,0,0,0,0,1,2,0,0,15,0,0,4,4,0,0,0,0,0,0,0,13,2,6,1,0,0,2,19
"Polyscias fulva",0,0,0,0,0,0,6,38,0,0,0,0,0,0,0,7,6,0,4,0,0,1,9,0,0,0,0,0,0,0,19,0,0,0,1,0,20,110
"Prunus africana",0,1,0,69,24,2,8,107,21,0,2,0,0,0,0,0,0,0,12,1,0,0,3,0,0,0,0,0,0,0,21,1,0,0,0,3,4,0
