"","Canis aureus","Macaca radiata","Viverricula indica"
"Allophylus serratus",0,1,0
"Azadirachta indica",0,4,0
"Benkara malabarica",5,0,0
"Calamus rotang",14,4,1
"Catunaregam spinosa",0,1,0
"Cordia dichotoma",71,14,13
"Diospyros vera",24,4,5
"Ficus David2011.unidsp.mult",1,13,0
"Flueggea leucopyrus",5,0,9
"Glycosmis pentaphylla",5,0,3
"Grewia oppositifolia",43,1,5
"Heynea trifolia",0,4,0
"Hugonia serrata",19,0,1
"Lannea coromandelica",0,3,0
"Lepisanthes tetraphylla",1,0,1
"Manilkara hexandra",14,0,4
"Memecylon umbellatum",66,4,25
"Mimusops elengi",2,0,0
"Pachygone ovata",0,3,0
"Pamburus missionis",1,0,0
"Phoenix pusilla",85,1,24
"Phoenix sylvestris",1,0,0
"Scutia myrtina",2,0,1
"Solanum trilobatum",1,0,0
"Syzygium cumini",156,3,34
"Tamarindus indica",5,3,1
"Ziziphus jujuba",9,0,0
"Ziziphus oenopolia",5,2,1
